Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term
0,5,0,12,10,0.25,5
0.1,5,11.9638,0,-13.9276,-0.0981908,-11.9638
0.2,5,-0.001847,12,10.0037,0.151902,11.9657
0.3,5,11.9888,0,-13.9775,-0.197537,-11.9906
0.4,5,0.0141895,12,9.97162,0.0517538,11.9746
0.5,5,11.9196,0,-13.8392,-0.294226,-11.9054
0.6,5,0.029137,12,9.94173,-0.0456824,11.8905
0.7,5,11.9782,0,-13.9565,-0.394594,-11.9491
0.8,5,-0.0855032,12,10.171,-0.140319,12.0637
0.9,5,11.9837,0,-13.9673,-0.489502,-12.0692
1,5,-0.0355594,12,10.0711,-0.237724,12.0192
1.1,5,11.9103,0,-13.8205,-0.583237,-11.9458
1.2,5,0.0471617,12,9.90568,-0.335595,11.8631
1.3,5,11.9749,0,-13.9498,-0.68434,-11.9277
1.4,5,0.0828614,12,9.83428,-0.438483,11.892
1.5,5,12.0187,0,-14.0375,-0.78942,-11.9359
1.6,5,0.0315322,12,9.93694,-0.540997,11.9872
1.7,5,12.0664,0,-14.1329,-0.894318,-12.0349
1.8,5,0.00378402,12,9.99243,-0.644508,12.0627
1.9,5,12.0538,0,-14.1076,-0.997198,-12.05
2,5,-0.0111212,12,10.0222,-0.746642,12.0649
2.1,5,12.0725,0,-14.1451,-1.10027,-12.0837
2.2,5,0.0201231,12,9.95975,-0.851275,12.0524
2.3,5,12.0401,0,-14.0803,-1.20328,-12.02
2.4,5,0.0105982,12,9.9788,-0.953813,12.0296
2.5,5,12.0611,0,-14.1223,-1.30687,-12.0505
2.6,5,0.0304854,12,9.93903,-1.05839,12.0306
2.7,5,11.9875,0,-13.9751,-1.40777,-11.9571
2.8,5,0.062959,12,9.87408,-1.16092,11.9246
2.9,5,11.9377,0,-13.8755,-1.5078,-11.8748
3,5,0.0200041,12,9.95999,-1.25881,11.9177
3.1,5,11.9595,0,-13.9189,-1.60678,-11.9395
3.2,5,0.00397308,12,9.99205,-1.35698,11.9555
3.3,5,11.9921,0,-13.9842,-1.70658,-11.9881
3.4,5,0.0203096,12,9.95938,-1.4576,11.9718
3.5,5,12.0186,0,-14.0372,-1.80853,-11.9983
3.6,5,-0.0310903,12,10.0622,-1.55697,12.0497
3.7,5,11.916,0,-13.8319,-1.90277,-11.947
3.8,5,-0.0232185,12,10.0464,-1.65161,11.9392
3.9,5,12.023,0,-14.046,-2.00276,-12.0462
4,5,0.050003,12,9.89999,-1.75526,11.973
4.1,5,11.9257,0,-13.8514,-2.10155,-11.8757
4.2,5,-0.0434844,12,10.087,-1.84937,11.9692
4.3,5,12.0433,0,-14.0865,-2.20153,-12.0868
4.4,5,0.0149568,12,9.97009,-1.95228,12.0283
4.5,5,11.9595,0,-13.9189,-2.30026,-11.9445
4.6,5,0.00896201,12,9.98208,-2.0507,11.9505
4.7,5,12.0604,0,-14.1209,-2.40373,-12.0515
4.8,5,-0.0613046,12,10.1226,-2.15066,12.1217
4.9,5,11.9513,0,-13.9027,-2.49823,-12.0127
5,5,-0.000144528,12,10.0003,-2.24822,11.9515
5.1,5,12.0539,0,-14.1078,-2.60092,-12.0541
5.2,5,-0.08984,12,10.1797,-2.34642,12.1438
5.3,5,11.9502,0,-13.9003,-2.69393,-12.04
5.4,5,-0.017037,12,10.0341,-2.44308,11.9672
5.5,5,11.9671,0,-13.9343,-2.79144,-11.9842
5.6,5,0.0131991,12,9.9736,-2.5421,11.9539
5.7,5,12.0216,0,-14.0433,-2.89318,-12.0084
5.8,5,-0.000984565,12,10.002,-2.64313,12.0226
5.9,5,12.114,0,-14.2279,-2.99883,-12.115
6,5,0.0839777,12,9.83204,-2.75303,12.03
6.1,5,12.0095,0,-14.019,-3.1035,-11.9255
6.2,5,-0.00332399,12,10.0066,-2.85334,12.0128
6.3,5,12.0067,0,-14.0133,-3.20367,-12.01
6.4,5,0.0697649,12,9.86047,-2.95716,11.9369
6.5,5,12.0061,0,-14.0122,-3.30746,-11.9364
6.6,5,0.0762415,12,9.84752,-3.06128,11.9299
6.7,5,12.0419,0,-14.0839,-3.41337,-11.9657
6.8,5,-0.0339456,12,10.0679,-3.16168,12.0759
6.9,5,12.0681,0,-14.1362,-3.51508,-12.102
7,5,0.0958483,12,9.8083,-3.26987,11.9722
7.1,5,11.9698,0,-13.9395,-3.61836,-11.8739
7.2,5,-0.020483,12,10.041,-3.36734,11.9902
7.3,5,12.0171,0,-14.0341,-3.71819,-12.0375
7.4,5,0.0883012,12,9.8234,-3.4726,11.9288
7.5,5,12.0181,0,-14.0361,-3.82351,-11.9298
7.6,5,-0.0132683,12,10.0265,-3.57284,12.0313
7.7,5,11.8788,0,-13.7576,-3.91678,-11.892
7.8,5,0.0912435,12,9.81751,-3.67135,11.7875
7.9,5,12.0157,0,-14.0313,-4.02213,-11.9244
8,5,-0.111157,12,10.2223,-3.76657,12.1268
8.1,5,12.0458,0,-14.0916,-4.11886,-12.157
8.2,5,0.0231145,12,9.95377,-3.87002,12.0227
8.3,5,11.956,0,-13.9119,-4.21782,-11.9329
8.4,5,-0.0796391,12,10.1593,-3.96383,12.0356
8.5,5,11.9612,0,-13.9224,-4.31189,-12.0408
8.6,5,0.0671943,12,9.86561,-4.06525,11.894
8.7,5,12.0318,0,-14.0636,-4.41684,-11.9646
8.8,5,0.00390466,12,9.99219,-4.16704,12.0279
8.9,5,11.9062,0,-13.8124,-4.51235,-11.9023
9,5,0.040655,12,9.91869,-4.26438,11.8655
9.1,5,11.8722,0,-13.7443,-4.60799,-11.8315
9.2,5,0.00761195,12,9.98478,-4.35837,11.8646
9.3,5,12.0576,0,-14.1152,-4.71125,-12.05
9.4,5,-0.016443,12,10.0329,-4.46043,12.0741
9.5,5,12.0088,0,-14.0175,-4.81086,-12.0252
9.6,5,0.00597984,12,9.98804,-4.56116,12.0028
9.7,5,12.0023,0,-14.0047,-4.91128,-11.9964
9.8,5,0.0297207,12,9.94056,-4.66277,11.9726
9.9,5,12.0669,0,-14.1337,-5.01611,-12.0371
10,5,0.0490463,12,9.90191,-4.76856,12.0178
