Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
0,5,0.118526,5.7515,0.75,0.0015,5,0
0.01,5,0.121094,0.61666,0.732221,0.00296444,-0.118526,0
0.02,5,0.12664,0.733696,0.731836,0.00442811,-0.00256812,0
0.03,5,0.135991,0.731349,0.731004,0.00589012,-0.00554557,0
0.04,5,0.150432,0.727599,0.729601,0.00734932,-0.00935128,0
0.05,5,0.160804,0.721799,0.727435,0.0088042,-0.0144409,0
0.06,5,0.176683,0.725763,0.725879,0.010256,-0.0103726,0
0.07,5,0.191243,0.719321,0.723498,0.0117029,-0.0158791,0
0.08,5,0.20619,0.7199,0.721314,0.0131456,-0.0145593,0
0.09,5,0.221929,0.718708,0.719072,0.0145837,-0.0149473,0
0.1,5,0.233226,0.716989,0.716711,0.0160171,-0.0157392,0
0.11,5,0.240889,0.721167,0.715016,0.0174472,-0.0112965,0
0.12,5,0.249839,0.725078,0.713867,0.0188749,-0.00766347,0
0.13,5,0.260421,0.723874,0.712524,0.0203,-0.00894973,0
0.14,5,0.264184,0.722076,0.710937,0.0217218,-0.0105827,0
0.15,5,0.276071,0.729752,0.710372,0.0231426,-0.00376275,0
0.16,5,0.297657,0.721262,0.708589,0.0245598,-0.0118868,0
0.17,5,0.311601,0.709736,0.705351,0.0259705,-0.021586,0
0.18,5,0.319992,0.716693,0.70326,0.027377,-0.013944,0
0.19,5,0.331286,0.722391,0.702001,0.028781,-0.00839132,0
0.2,5,0.332154,0.719195,0.700307,0.0301816,-0.0112939,0
0.21,5,0.342017,0.730892,0.700177,0.0315819,-0.000867398,0
0.22,5,0.345497,0.721814,0.698698,0.0329793,-0.009863,0
0.23,5,0.353559,0.729071,0.698175,0.0343757,-0.00348028,0
0.24,5,0.362824,0.724673,0.696966,0.0357696,-0.00806246,0
0.25,5,0.36699,0.723473,0.695576,0.0371608,-0.00926436,0
0.26,5,0.376001,0.729336,0.694951,0.0385507,-0.00416659,0
0.27,5,0.386363,0.724527,0.6936,0.0399379,-0.00901088,0
0.28,5,0.390373,0.723006,0.692046,0.041322,-0.0103616,0
0.29,5,0.410552,0.730139,0.691444,0.0427049,-0.00400972,0
0.3,5,0.412233,0.712319,0.688417,0.0440817,-0.0201798,0
0.31,5,0.421589,0.731942,0.688165,0.045458,-0.00168091,0
0.32,5,0.428497,0.724237,0.686762,0.0468315,-0.00935596,0
0.33,5,0.438799,0.727021,0.685725,0.048203,-0.00690778,0
0.34,5,0.437433,0.72345,0.68418,0.0495714,-0.010302,0
0.35,5,0.451423,0.736691,0.684385,0.0509401,0.0013656,0
0.36,5,0.456663,0.720602,0.682287,0.0523047,-0.0139895,0
0.37,5,0.454967,0.729928,0.681501,0.0536677,-0.00524009,0
0.38,5,0.464801,0.738482,0.681755,0.0550312,0.00169573,0
0.39,5,0.467953,0.726838,0.68028,0.0563918,-0.00983374,0
0.4,5,0.464966,0.734406,0.679807,0.0577514,-0.00315232,0
0.41,5,0.474289,0.742354,0.680255,0.0591119,0.00298705,0
0.42,5,0.475863,0.730003,0.678857,0.0604696,-0.00932286,0
0.43,5,0.47893,0.738873,0.678621,0.0618268,-0.00157414,0
0.44,5,0.483358,0.738278,0.678161,0.0631832,-0.00306622,0
0.45,5,0.485995,0.737606,0.677496,0.0645382,-0.00442845,0
0.46,5,0.489582,0.740356,0.677101,0.0658924,-0.0026367,0
0.47,5,0.497832,0.740221,0.676563,0.0672455,-0.00358753,0
0.48,5,0.513607,0.735672,0.675325,0.0685961,-0.00824971,0
0.49,5,0.521271,0.727126,0.672959,0.0699421,-0.0157752,0
0.5,5,0.519249,0.735431,0.671809,0.0712857,-0.00766405,0
0.51,5,0.525024,0.746765,0.672113,0.0726299,0.00202236,0
0.52,5,0.532056,0.739443,0.671246,0.0739724,-0.00577562,0
0.53,5,0.54163,0.738473,0.670192,0.0753128,-0.00703132,0
0.54,5,0.550675,0.735831,0.668755,0.0766503,-0.0095743,0
0.55,5,0.550782,0.736339,0.667399,0.0779851,-0.00904456,0
0.56,5,0.553623,0.746596,0.667383,0.0793199,-0.000106894,0
0.57,5,0.558212,0.744769,0.666957,0.0806538,-0.00284152,0
0.58,5,0.570585,0.743666,0.666268,0.0819863,-0.00458881,0
0.59,5,0.575024,0.735354,0.664412,0.0833151,-0.0123733,0
0.6,5,0.578637,0.743951,0.663746,0.0846426,-0.00443848,0
0.61,5,0.579582,0.74556,0.663204,0.085969,-0.00361334,0
0.62,5,0.588536,0.749413,0.663063,0.0872952,-0.000944664,0
0.63,5,0.589871,0.741384,0.66172,0.0886186,-0.00895442,0
0.64,5,0.591901,0.750126,0.661519,0.0899416,-0.00133504,0
0.65,5,0.598472,0.750449,0.661215,0.0912641,-0.00202996,0
0.66,5,0.609529,0.746243,0.660229,0.0925845,-0.0065711,0
0.67,5,0.611464,0.741416,0.658571,0.0939017,-0.0110564,0
0.68,5,0.610405,0.751563,0.65828,0.0952182,-0.00193548,0
0.69,5,0.61471,0.756033,0.658439,0.0965351,0.00105892,0
0.7,5,0.619751,0.751339,0.657793,0.0978507,-0.00430489,0
0.71,5,0.627941,0.751161,0.657037,0.0991648,-0.00504106,0
0.72,5,0.63593,0.748095,0.655809,0.100476,-0.00819001,0
0.73,5,0.636319,0.748407,0.65461,0.101786,-0.00798912,0
0.74,5,0.633337,0.757258,0.654552,0.103095,-0.000388462,0
0.75,5,0.639594,0.762386,0.654999,0.104405,0.00298193,0
0.76,5,0.635292,0.753517,0.654061,0.105713,-0.00625677,0
0.77,5,0.635615,0.76603,0.654706,0.107022,0.00430131,0
0.78,5,0.645767,0.762666,0.654658,0.108332,-0.000322865,0
0.79,5,0.65293,0.752621,0.653135,0.109638,-0.0101521,0
0.8,5,0.660981,0.75584,0.652061,0.110942,-0.00716236,0
0.81,5,0.661751,0.755045,0.650853,0.112244,-0.00805179,0
0.82,5,0.671501,0.763513,0.650737,0.113545,-0.000769203,0
0.83,5,0.677981,0.754369,0.649275,0.114844,-0.00974992,0
0.84,5,0.680943,0.757963,0.648303,0.11614,-0.00648046,0
0.85,5,0.677313,0.762333,0.647859,0.117436,-0.00296159,0
0.86,5,0.678265,0.770765,0.648403,0.118733,0.00362919,0
0.87,5,0.682459,0.767338,0.64826,0.120029,-0.000951752,0
0.88,5,0.682042,0.764762,0.647631,0.121325,-0.0041941,0
0.89,5,0.683796,0.770731,0.647694,0.12262,0.000417689,0
0.9,5,0.683321,0.76959,0.647431,0.123915,-0.0017549,0
0.91,5,0.679573,0.773188,0.647502,0.12521,0.0004758,0
