Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
0,5,0,4.025,1.5,0.025,2.5,0
0.1,5,4.01397,0,0.295808,0.0299301,-2.00699,0
0.2,5,0.0186994,3.54686,1.49439,0.0548366,1.99764,0
0.3,5,3.54511,0,0.436466,0.0621111,-1.76321,0
0.4,5,0.0054372,3.35529,1.49837,0.0870839,1.76984,0
0.5,5,3.34203,0,0.49739,0.0953737,-1.6683,0
0.6,5,0.0158802,3.27861,1.49524,0.120294,1.66308,0
0.7,5,3.29322,0,0.512033,0.128828,-1.63867,0
0.8,5,0.00126468,3.29942,1.49962,0.153822,1.64598,0
0.9,5,3.2937,0,0.511891,0.162353,-1.64622,0
1,5,-0.00766585,3.34037,1.5023,0.187392,1.65068,0
1.1,5,3.33902,0,0.498294,0.195697,-1.67334,0
1.2,5,0.00457003,3.38653,1.49863,0.220674,1.66723,0
1.3,5,3.38841,0,0.483477,0.228732,-1.69192,0
1.4,5,-0.00589902,3.45268,1.50177,0.253761,1.69715,0
1.5,5,3.458,0,0.4626,0.261471,-1.73195,0
1.6,5,0.0119882,3.50582,1.4964,0.286411,1.72301,0
1.7,5,3.50149,0,0.449552,0.293904,-1.74475,0
1.8,5,-0.00331484,3.57232,1.50099,0.31892,1.7524,0
1.9,5,3.56993,0,0.42902,0.326071,-1.78662,0
2,5,-0.00750418,3.64208,1.50225,0.351108,1.78872,0
2.1,5,3.64453,0,0.406642,0.357886,-1.82602,0
2.2,5,0.0137045,3.69412,1.49589,0.382817,1.81541,0
2.3,5,3.68847,0,0.393459,0.389375,-1.83738,0
2.4,5,0.000706089,3.75804,1.49979,0.414371,1.84388,0
2.5,5,3.74781,0,0.375658,0.420632,-1.87355,0
2.6,5,-0.0098828,3.82749,1.50296,0.445682,1.87884,0
2.7,5,3.81611,0,0.355168,0.451601,-1.913,0
2.8,5,0.0122734,3.87478,1.49632,0.47654,1.90192,0
2.9,5,3.87738,0,0.336787,0.482153,-1.93255,0
3,5,0.00995388,3.93783,1.49701,0.507103,1.93371,0
3.1,5,3.92486,0,0.322543,0.512479,-1.95745,0
3.2,5,0.00228612,3.99807,1.49931,0.537467,1.96129,0
3.3,5,3.99816,0,0.300553,0.542477,-1.99793,0
3.4,5,-0.0133201,4.07728,1.504,0.567543,2.00574,0
3.5,5,4.08255,0,0.275236,0.57213,-2.04793,0
3.6,5,0.00735661,4.13248,1.49779,0.597094,2.0376,0
3.7,5,4.13147,0,0.260559,0.601436,-2.06206,0
3.8,5,0.0051002,4.18807,1.49847,0.626411,2.06319,0
3.9,5,4.17167,0,0.248498,0.630552,-2.08329,0
4,5,-0.00286113,4.24369,1.50086,0.655567,2.08727,0
4.1,5,4.23735,0,0.228794,0.65938,-2.12011,0
4.2,5,-0.00231472,4.30492,1.50069,0.684392,2.11983,0
4.3,5,4.32088,0,0.203737,0.687787,-2.1616,0
4.4,5,-0.00363714,4.37615,1.50109,0.712805,2.16226,0
4.5,5,4.37636,0,0.187091,0.715923,-2.19,0
4.6,5,0.00148465,4.42791,1.49955,0.740916,2.18744,0
4.7,5,4.44022,0,0.167934,0.743715,-2.21937,0
4.8,5,0.00569616,4.48424,1.49829,0.768686,2.21726,0
4.9,5,4.47254,0,0.158237,0.771324,-2.23342,0
5,5,0.00972181,4.52477,1.49708,0.796275,2.23141,0
5.1,5,4.53406,0,0.139782,0.798605,-2.26217,0
5.2,5,0.00642052,4.58547,1.49807,0.823573,2.26382,0
5.3,5,4.57989,0,0.126034,0.825673,-2.28673,0
5.4,5,0.00203274,4.63898,1.49939,0.850663,2.28893,0
5.5,5,4.64414,0,0.106759,0.852442,-2.32105,0
5.6,5,0.0067578,4.69407,1.49797,0.877409,2.31869,0
5.7,5,4.69031,0,0.0929074,0.878957,-2.34178,0
5.8,5,0.00327355,4.74648,1.49902,0.903941,2.34352,0
5.9,5,4.76381,0,0.0708566,0.905122,-2.38027,0
6,5,0.0107355,4.80339,1.49678,0.930068,2.37654,0
6.1,5,4.80467,0,0.0585996,0.931045,-2.39697,0
6.2,5,-0.013209,4.86901,1.50396,0.956111,2.40894,0
6.3,5,4.87781,0,0.0366581,0.956722,-2.44551,0
6.4,5,0.00716455,4.91486,1.49785,0.981686,2.43532,0
6.5,5,4.92149,0,0.0235543,0.982078,-2.45716,0
6.6,5,0.00367717,4.96486,1.4989,1.00706,2.4589,0
6.7,5,4.96287,0,0.0111391,1.00725,-2.4796,0
6.8,5,-0.0031145,5.01619,1.50093,1.03226,2.48299,0
6.9,5,5.01645,0,-0.00493634,1.03218,-2.50978,1
7,5,-0.0047941,5.04424,1.50144,1.03218,2.51062,0
7.1,5,5.04396,0,-0.0131874,1.03196,-2.52438,1
7.2,5,0.00440571,5.05041,1.49868,1.03196,2.51978,0
7.3,5,5.05124,0,-0.0153727,1.0317,-2.52342,1
7.4,5,0.00732927,5.05146,1.4978,1.0317,2.52196,0
7.5,5,5.0499,0,-0.0149709,1.03145,-2.52129,1
7.6,5,0.00385628,5.05332,1.49884,1.03145,2.52302,0
7.7,5,5.06573,0,-0.0197185,1.03112,-2.53094,1
7.8,5,0.00510238,5.05991,1.49847,1.03112,2.53031,0
7.9,5,5.05544,0,-0.0166317,1.03085,-2.52517,1
8,5,-0.0201249,5.07467,1.50604,1.03085,2.53778,0
8.1,5,5.08773,0,-0.0263195,1.03041,-2.55393,1
8.2,5,0.0152633,5.06206,1.49542,1.03041,2.53623,0
8.3,5,5.05968,0,-0.0179051,1.03011,-2.52221,1
8.4,5,0.0206333,5.04345,1.49381,1.03011,2.51953,0
8.5,5,5.06189,0,-0.0185661,1.0298,-2.52063,1
8.6,5,-0.0120318,5.07037,1.50361,1.0298,2.53696,0
8.7,5,5.07322,0,-0.0219652,1.02944,-2.54262,1
8.8,5,-0.0024519,5.06801,1.50074,1.02944,2.53783,0
8.9,5,5.07567,0,-0.022702,1.02906,-2.53906,1
9,5,0.00929956,5.05945,1.49721,1.02906,2.53319,0
9.1,5,5.07717,0,-0.0231515,1.02867,-2.53394,1
9.2,5,-0.00578103,5.07188,1.50173,1.02867,2.54148,0
9.3,5,5.08645,0,-0.0259341,1.02824,-2.54611,1
9.4,5,0.0153622,5.05917,1.49539,1.02824,2.53554,0
9.5,5,5.08107,0,-0.0243206,1.02783,-2.53285,1
9.6,5,-0.00640946,5.0735,1.50192,1.02783,2.54374,0
9.7,5,5.07391,0,-0.0221719,1.02746,-2.54016,1
9.8,5,0.0078366,5.05815,1.49765,1.02746,2.53303,0
9.9,5,5.05233,0,-0.0156979,1.0272,-2.52224,1
10,5,0.00621416,5.04839,1.49814,1.0272,2.52306,0
10.1,5,5.0608,0,-0.0182386,1.0269,-2.52729,1
10.2,5,-0.00603162,5.06212,1.50181,1.0269,2.53341,0
