Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
0,5,0,12,12,0.12,16,1
0.05,5,1.19564,5.42442,9.13046,0.12,-3.82605,0
0.1,5,1.60815,7.02183,8.14045,0.201404,-1.32002,0
0.15,5,2.1411,5.4259,6.86135,0.270018,-1.70546,0
0.2,5,2.47723,5.30961,6.05465,0.330564,-1.0756,0
0.25,5,2.76097,4.85002,5.37368,0.384301,-0.907956,0
0.3,5,2.97121,4.62929,4.86909,0.432992,-0.672791,0
0.35,5,3.13149,4.4494,4.48443,0.477836,-0.512871,0
0.4,5,3.26188,4.27377,4.17148,0.519551,-0.417266,0
0.45,5,3.35754,4.19478,3.94191,0.55897,-0.306099,0
0.5,5,3.446,4.04277,3.72959,0.596266,-0.28309,0
0.55,5,3.50376,4.03835,3.59098,0.632176,-0.184809,0
0.6,5,3.55986,3.94355,3.45634,0.666739,-0.179528,0
0.65,5,3.59774,3.94463,3.36544,0.700394,-0.121203,0
0.7,5,3.63153,3.90941,3.28432,0.733237,-0.108151,0
0.75,5,3.6585,3.89875,3.2196,0.765433,-0.086291,0
0.8,5,3.68754,3.85388,3.14989,0.796932,-0.0929486,0
0.85,5,3.70333,3.88954,3.112,0.828052,-0.0505197,0
0.9,5,3.72144,3.86935,3.06855,0.858737,-0.057938,0
0.95,5,3.73065,3.90615,3.04643,0.889202,-0.0294881,0
1,5,3.7509,3.85223,2.99784,0.91918,-0.0647931,0
1.05,5,3.75985,3.89669,2.97637,0.948944,-0.0286242,0
1.1,5,3.77148,3.88965,2.94845,0.978428,-0.0372254,0
1.15,5,3.786,3.87472,2.91361,1.00756,-0.0464569,0
1.2,5,3.78844,3.93656,2.90774,1.03664,-0.00782178,0
1.25,5,3.79902,3.91394,2.88234,1.06547,-0.0338669,0
1.3,5,3.81592,3.8816,2.84179,1.09388,-0.0540745,0
1.35,5,3.81672,3.9596,2.83987,1.12228,-0.00255604,0
1.4,5,3.83209,3.90412,2.80299,1.15031,-0.0491761,0
1.45,5,3.83098,3.98754,2.80564,1.17837,0.0035325,0
1.5,5,3.84378,3.94008,2.77492,1.20612,-0.040957,0
1.55,5,3.85486,3.94649,2.74834,1.2336,-0.0354437,0
1.6,5,3.86474,3.95386,2.72463,1.26085,-0.0316141,0
1.65,5,3.87554,3.95199,2.69871,1.28783,-0.0345564,0
1.7,5,3.88596,3.95493,2.6737,1.31457,-0.033341,0
1.75,5,3.89645,3.95598,2.64851,1.34106,-0.0335866,0
1.8,5,3.90711,3.95609,2.62292,1.36729,-0.0341177,0
1.85,5,3.91253,3.98598,2.60993,1.39338,-0.0173285,0
1.9,5,3.92842,3.94007,2.5718,1.4191,-0.0508329,0
1.95,5,3.92738,4.02243,2.57428,1.44485,0.00330192,0
2,5,3.93312,4.01259,2.5605,1.47045,-0.0183682,0
2.05,5,3.94584,3.98505,2.52999,1.49575,-0.0406878,0
2.1,5,3.948,4.03886,2.52479,1.521,-0.00692846,0
2.15,5,3.95251,4.04572,2.51399,1.54614,-0.0144052,0
2.2,5,3.96722,4.00252,2.47868,1.57093,-0.0470815,0
2.25,5,3.97198,4.0476,2.46724,1.5956,-0.0152447,0
2.3,5,3.97748,4.05656,2.45404,1.62014,-0.0176094,0
