Feature1,Feature2,Cluster
0.247053,0.584388,0
0.381164,0.465159,0
0.485463,0.212069,1
0.261158,0.72372,0
0.599827,0.399013,2
0.024919,0.263764,1
0.835671,0.585341,2
0.859984,0.409358,2
0.226126,0,1
0.269928,0.68463,0
0.243755,0.409268,1
0.0760619,0.616559,0
0.762967,1,2
0.189148,0.644932,0
0,0.455293,1
0.655002,0.683641,2
0.4922,0.24612,1
0.0518359,0.639178,0
0.673133,0.538737,2
0.497207,0.451012,2
0.257092,0.554345,0
0.921576,0.850154,2
0.157644,0.522144,0
0.326907,0.0695753,1
0.436202,0.722504,0
0.129086,0.579096,0
0.451381,0.157058,1
0.464531,0.781474,0
0.705554,0.537997,2
0.105823,0.448365,1
0.84355,0.625111,2
0.483492,0.546453,2
0.337011,0.409792,1
0.509488,0.683401,2
0.35272,0.509324,0
0,0.549464,0
0.613484,0.371716,2
0.175535,0.867821,0
0.638136,0.404146,2
0.839622,1,2
0.419306,0.627337,0
0.286999,0.406766,1
0.717444,1,2
0,0.505642,0
0,0.12599,1
0.77396,0.547708,2
0.607342,0.578808,2
0.215644,0.288791,1
0.711475,0.540528,2
0.507667,0.600287,2
0.55028,0.176814,1
0.910132,0.676729,2
0.319186,0.273688,1
0,0.216903,1
0.398047,0.857396,0
0.851973,0.654745,2
0.278201,0.250818,1
0.531942,0.677155,2
0.356908,0.62269,0
0.0152901,0.282313,1
0.215533,0.612066,0
0.727821,0.504749,2
0.268303,0.270287,1
0.729037,0.563752,2
0.331145,0.495006,0
0.142393,0.134774,1
0.661871,0.666369,2
0.50204,0.618284,2
0,0.115054,1
0.835658,0.987886,2
0.410838,0.583642,0
0.228522,0.150267,1
0.830039,0.709342,2
0.0941206,0.504016,0
0.1533,0.58055,0
1,0.655972,2
0,0.246916,1
0.133672,0.908741,0
0.630845,0.777901,2
0.558329,0.599608,2
0.263568,0.61823,0
0.604236,0.772596,2
0.231086,0.816903,0
0.309746,0.290476,1
0.324487,0.734926,0
0.440344,0.586926,0
0,0.420421,1
0.795884,0.555256,2
0.393821,0.576831,0
0,0,1
0.929177,0.615085,2
0.0797519,0.44853,1
0.147937,0.198145,1
0.216098,0.83802,0
0.545028,0.592376,2
0.286041,0.0526905,1
0.286989,0.865799,0
0.573082,0.464477,2
0.220685,0.346967,1
0.679273,0.94072,2
0.463715,0.47914,0
0.0127064,0.0805613,1
0.779635,0.535853,2
0.526869,0.572017,2
0.233423,0.108209,1
0.461963,0.619064,0
0.525422,0.516973,2
0.28467,0.161999,1
0.894503,0.390673,2
0.54626,0.542419,2
0.441669,0.630248,0
0.793926,0.787112,2
0.365068,0.670953,0
0.255029,0.185162,1
1,0.649196,2
0.408539,0.273038,1
0.280481,0.43807,0
0.647035,0.406512,2
0.593309,0.212415,1
0,0.0527475,1
0.0717721,0.816474,0
0.074405,0.748845,0
0.522493,0.381133,2
0.744075,0.868427,2
0.428719,0.418852,0
0.269124,0.555689,0
0.199258,0.612853,0
0.319117,0.491116,0
0.422067,0.27046,1
0.762562,0.81551,2
0.49665,0.519767,2
0.0926081,0.366208,1
0.205092,0.783393,0
0.0211696,0.572321,0
0.160007,0.48645,0
0.796579,0.601204,2
0.279579,0.449616,0
0.160246,0.415852,1
0.608958,0.857769,2
0.523476,0.589899,2
0,0.378065,1
0.567276,0.930802,2
0.582655,0.345791,2
0.157635,0.223907,1
0.552831,0.861073,2
0.588473,0.361506,2
0.347088,0.534201,0
0.762811,0.700389,2
0.212526,0.695583,0
0.257366,0.277167,1
